Tuple,AoI
"(0, 0)",48013
"(1, 0)",598
"(-1, 0)",587
"(2, 0)",7
"(-2, 0)",9
"(0, 1)",566
"(0, -1)",557
"(1, 1)",226
"(-1, -1)",222
"(0, 2)",8
"(0, -2)",9
"(-1, 1)",6
"(1, -1)",4
"(1, 2)",3
"(-1, -2)",3
"(2, 1)",2
"(-2, -1)",2
"(2, -1)",2
"(-1, 2)",1
"(2, 2)",1
"(-2, -2)",1
