Tuple,AoI
"(4, -4, 2)",4
"(2, 4, -2)",15
"(4, -5, 2)",2
"(-2, 4, -2)",24
"(2, -3, 4)",14
"(-4, -2, 3)",21
"(6, -5, -5)",2
"(0, -4, 5)",5
"(-2, 3, -4)",12
"(3, 6, -2)",2
"(-3, -6, 0)",2
"(4, 0, -1)",33
"(2, -2, 6)",1
"(-2, 0, -6)",4
"(7, 3, 2)",2
"(-7, -3, -2)",1
"(-5, 0, -6)",1
"(-3, -1, 5)",5
"(-4, -1, 4)",3
"(0, 6, 2)",1
"(0, 7, -2)",2
"(0, -7, 0)",4
"(-2, 4, -1)",19
"(2, -2, 5)",5
"(2, 6, 2)",14
"(-2, -6, -2)",9
"(-1, 4, -4)",5
"(-1, -5, -2)",8
"(-3, 2, -3)",22
"(4, -4, -4)",4
"(-2, -4, -5)",8
"(-3, 5, 3)",1
"(0, -5, -3)",13
"(-2, 7, -2)",1
"(-4, -2, 5)",4
"(-4, 3, 3)",11
"(4, 0, -2)",23
"(3, 1, 7)",2
"(-3, -1, -7)",1
"(-4, -4, -5)",6
"(5, -4, -2)",5
"(7, 1, 0)",5
"(-3, -4, 4)",4
"(-5, 2, 0)",5
"(4, 4, 0)",24
"(-3, 3, 1)",10
"(-3, 2, 1)",19
"(3, -3, 2)",9
"(5, -1, -4)",3
"(-2, 4, -3)",33
"(1, -5, 1)",9
"(6, -2, -3)",2
"(-6, 1, 0)",2
"(4, -1, -3)",22
"(2, -1, 5)",14
"(3, 0, 6)",3
"(-3, 0, -6)",4
"(5, 3, -2)",6
"(-5, -3, 0)",9
"(0, 4, -2)",19
"(-1, 3, -4)",6
"(2, 4, -4)",3
"(4, 6, -1)",1
"(5, 7, 0)",1
"(-5, 8, 1)",1
"(0, -8, -1)",1
"(3, 5, -3)",2
"(-1, -5, 1)",2
"(1, 1, -4)",26
"(3, -4, -3)",4
"(4, 4, -2)",12
"(2, 1, 5)",17
"(-2, -1, -5)",9
"(6, 0, 1)",10
"(4, 5, 4)",14
"(5, 6, 5)",6
"(6, -6, -5)",1
"(-2, 2, 5)",3
"(1, 4, 7)",2
"(-1, -4, 8)",1
"(0, 0, -8)",3
"(5, 2, -4)",3
"(-5, 3, 1)",3
"(-4, 1, -4)",6
"(2, -4, 4)",3
"(0, 5, 5)",6
"(-3, 5, 0)",5
"(6, 0, -2)",2
"(7, 0, 0)",8
"(-7, 0, 0)",11
"(-2, -5, 3)",2
"(-5, -3, 2)",1
"(0, 4, 5)",3
"(0, -4, -5)",9
"(6, 1, 5)",4
"(-6, -1, 6)",3
"(2, 3, 6)",2
"(-2, -3, -6)",1
"(-3, 3, -3)",8
"(-3, 1, 2)",15
"(5, 0, 5)",3
"(5, -2, 2)",2
"(-1, 2, 7)",4
"(1, -2, -7)",1
"(3, 5, -2)",7
"(-2, 3, 5)",6
"(0, -3, 6)",1
"(-1, 4, 5)",1
"(1, 5, 6)",3
"(-1, -5, 7)",1
"(-4, 0, 1)",41
"(-2, 6, 3)",6
"(1, -6, 4)",2
"(-2, 2, -5)",1
"(1, 7, 0)",4
"(2, -7, 1)",1
"(5, 5, -3)",1
"(-5, -5, 0)",6
"(0, -3, 5)",7
"(2, 0, 7)",1
"(-2, 0, -7)",1
"(4, 1, -3)",25
"(4, -3, 5)",4
"(-4, 0, -5)",7
"(0, 4, 4)",19
"(-5, 5, 5)",2
"(1, -5, -5)",1
"(6, -5, -4)",1
"(-3, 6, -6)",1
"(-6, -1, 2)",2
"(-3, 1, -2)",22
"(-3, -2, -5)",8
"(6, 0, 3)",3
"(7, 1, 4)",3
"(8, 2, 5)",2
"(-8, -2, -5)",1
"(-2, 0, 5)",8
"(5, -1, -2)",7
"(-6, 3, 3)",1
"(5, 3, -4)",4
"(6, 3, 2)",6
"(-6, 4, -2)",2
"(-5, -3, 1)",1
"(5, 3, 4)",7
"(-5, 4, 5)",1
"(2, 6, -6)",1
"(-2, -6, 0)",2
"(-3, 3, -1)",17
"(-5, 4, 4)",1
"(5, -3, 3)",4
"(-5, 0, -3)",11
"(-2, 5, 4)",1
"(0, -5, -4)",6
"(5, -1, 1)",8
"(-4, 3, 4)",3
"(5, 1, -1)",9
"(1, -5, 2)",3
"(-4, 5, 1)",5
"(0, -5, -1)",18
"(6, -2, -5)",2
"(-5, -5, -5)",14
"(-2, -2, -6)",5
"(4, 5, 7)",2
"(-4, -5, -7)",1
"(3, 4, -1)",14
"(4, 5, 1)",18
"(-4, -5, 2)",2
"(-5, 4, -3)",2
"(-2, -4, 5)",6
"(-5, -1, -2)",14
"(7, 1, 1)",8
"(-7, -1, -1)",3
"(3, -6, 3)",1
"(-1, 5, 5)",2
"(2, 4, -1)",42
"(3, -4, 0)",8
"(1, -4, 2)",6
"(2, -5, 1)",2
"(-4, -1, 3)",8
"(2, 5, -2)",6
"(6, 5, 2)",2
"(-6, -5, -2)",2
"(-4, -5, -1)",7
"(-2, 1, 5)",2
"(1, 2, -5)",1
"(5, -3, 0)",6
"(1, 1, -5)",14
"(-3, 4, 5)",4
"(1, -3, -4)",7
"(0, -4, 2)",11
"(-5, 3, -3)",4
"(5, 4, 6)",3
"(-5, 5, 7)",1
"(0, 6, -7)",2
"(5, 2, -2)",9
"(6, 3, 1)",5
"(-6, -3, -1)",3
"(-1, 1, -4)",8
"(0, 5, 3)",5
"(-4, 2, 5)",2
"(-2, 0, -5)",15
"(-1, 0, 5)",6
"(-4, 4, -1)",7
"(2, -5, 2)",5
"(-1, 2, 6)",3
"(1, 3, 7)",2
"(-1, 4, -7)",1
"(4, 5, -1)",1
"(0, 7, 0)",1
"(3, -5, 1)",1
"(4, -5, 4)",1
"(5, 1, -4)",3
"(6, -1, 0)",2
"(-7, -1, 2)",1
"(6, 7, 6)",1
"(-6, -7, -6)",1
"(-5, 5, 0)",1
"(2, 7, -1)",2
"(-2, -7, 1)",1
"(-1, -6, 2)",2
"(-3, 5, -4)",2
"(2, 8, -1)",1
"(-2, -8, 1)",1
"(-6, -1, 1)",1
"(0, 5, -4)",3
"(3, -4, 2)",5
"(-1, -5, 2)",4
"(-1, 6, -1)",9
"(-4, -5, -4)",6
"(-3, 2, 4)",13
"(1, 6, 2)",6
"(-1, -6, 3)",2
"(2, 4, -3)",16
"(-2, -4, 1)",3
"(-2, -2, 7)",3
"(0, 1, 8)",1
"(0, -1, -8)",1
"(-4, -5, 1)",1
"(2, -1, -6)",1
"(6, 0, 2)",4
"(7, 0, -2)",1
"(-7, 0, 1)",4
"(-5, -2, 2)",2
"(-4, 5, -4)",4
"(3, -5, 2)",2
"(3, 0, 5)",5
"(-3, -5, -1)",10
"(-2, 6, 0)",3
"(8, 0, 0)",2
"(9, 0, 0)",2
"(10, 0, 1)",2
"(-10, 0, -1)",1
"(-3, -4, 1)",5
"(4, 2, 6)",2
"(-4, -2, 7)",1
"(1, 1, 8)",2
"(-1, 2, -8)",1
"(-3, 4, 3)",10
"(1, 5, 4)",8
"(2, 6, -4)",1
"(-2, -6, 1)",1
"(-2, 5, -2)",9
"(1, 6, 0)",12
"(-1, -6, 0)",7
"(-3, 2, 5)",4
"(0, -2, 6)",2
"(-2, 5, 0)",5
"(3, 6, 4)",2
"(4, 7, 5)",1
"(5, -7, -5)",1
"(-4, 4, 0)",3
"(5, 5, 2)",13
"(-5, -5, -2)",9
"(-4, 3, -3)",3
"(-6, -4, 4)",1
"(2, -2, 4)",10
"(3, -1, -4)",4
"(-7, -1, 0)",4
"(-1, 5, -3)",2
"(2, 4, 6)",2
"(3, 5, -6)",1
"(4, 6, 1)",2
"(-4, -6, -1)",1
"(2, 6, 0)",2
"(3, 7, 1)",3
"(-3, -7, -1)",1
"(0, 8, -1)",4
"(0, -8, 0)",6
"(-5, 4, 6)",2
"(0, -4, 7)",2
"(1, 0, -7)",1
"(2, 5, -3)",2
"(-4, 3, -1)",3
"(-5, -3, -3)",8
"(-2, -6, -6)",1
"(-4, 4, 5)",3
"(-5, -6, -5)",2
"(4, -3, -5)",2
"(5, 0, -4)",4
"(-6, 0, 2)",2
"(-4, -3, 2)",7
"(4, 5, 3)",6
"(-4, -5, -3)",4
"(-4, -5, 3)",3
"(2, 7, 3)",1
"(-2, 8, 4)",1
"(0, -8, -4)",1
"(3, 1, -4)",5
"(0, 6, 1)",14
"(4, 1, 5)",11
"(-4, -1, -5)",6
"(4, -4, 0)",4
"(5, 0, 3)",3
"(-3, -2, 6)",1
"(1, 0, 7)",4
"(-1, 0, -7)",3
"(5, 4, 5)",8
"(6, 5, -5)",1
"(-6, -5, 0)",4
"(-1, -4, -6)",3
"(6, 5, -1)",2
"(-4, 5, -1)",4
"(2, -4, -3)",2
"(1, -1, 7)",1
"(5, -2, 1)",9
"(5, -1, 5)",1
"(6, 1, 6)",2
"(-6, -1, -6)",1
"(-5, 6, -5)",1
"(2, -5, 6)",1
"(-2, 0, 7)",1
"(5, 2, 0)",6
"(-5, -2, 1)",1
"(4, 0, 5)",1
"(-4, 1, 6)",2
"(0, 2, 7)",2
"(0, -2, -7)",3
"(-3, 5, -1)",2
"(3, 4, 5)",7
"(4, 5, -5)",2
"(-4, 6, 1)",4
"(1, -6, -1)",1
"(-1, -5, -4)",6
"(1, -3, 5)",3
"(-1, 0, 6)",2
"(-3, 5, 4)",2
"(0, 1, -6)",4
"(-1, 2, -5)",6
"(4, 5, 5)",8
"(-4, -5, -5)",6
"(6, 3, -1)",1
"(-6, 4, 0)",3
"(6, -1, -5)",2
"(8, 2, 1)",2
"(9, 3, 2)",1
"(-9, -3, -2)",1
"(7, -2, -2)",1
"(6, 5, 4)",1
"(7, 6, 5)",1
"(-7, -6, -5)",1
"(5, -4, 5)",6
"(6, 0, -5)",1
"(1, -2, 5)",5
"(2, -2, -4)",3
"(-6, 3, -2)",1
"(-4, 4, -4)",6
"(2, 6, 4)",3
"(3, 7, -4)",1
"(4, -7, 0)",1
"(-1, 6, 2)",3
"(1, -6, -2)",1
"(5, -4, 0)",4
"(-5, 1, 1)",11
"(-4, 4, -3)",7
"(7, 2, 2)",4
"(8, -2, 3)",1
"(-8, 0, -3)",1
"(5, 0, 2)",5
"(-4, 4, 2)",3
"(3, -4, 4)",4
"(-4, 2, -5)",1
"(6, -4, -5)",1
"(4, 5, -2)",2
"(-1, -7, 3)",1
"(-5, 0, 3)",2
"(5, -4, -3)",1
"(1, 1, -6)",4
"(2, -4, 3)",2
"(1, -4, -2)",6
"(-5, -5, 6)",2
"(8, 1, 0)",2
"(9, 2, 1)",2
"(-9, -2, -1)",1
"(6, 3, 6)",2
"(-6, 4, 7)",1
"(0, -4, -7)",1
"(-2, -4, -6)",1
"(-5, -4, -3)",2
"(5, -5, -4)",1
"(5, -5, -1)",3
"(6, 2, -1)",2
"(-6, -2, 0)",4
"(3, 5, 5)",5
"(4, 6, -5)",1
"(-4, -6, 0)",1
"(1, 3, -7)",1
"(4, -5, -2)",1
"(7, 5, 5)",1
"(-7, -5, -5)",1
"(3, 0, -4)",4
"(-1, -2, -6)",1
"(5, 6, 3)",1
"(-5, -6, -3)",1
"(4, 2, 5)",5
"(-4, -2, -5)",3
"(2, -3, 3)",6
"(3, 8, 0)",1
"(-3, -8, 0)",1
"(0, 3, -4)",6
"(0, 1, 6)",11
"(0, -1, -6)",7
"(3, -3, -4)",2
"(-2, 5, -4)",5
"(6, -5, 3)",1
"(7, 1, -3)",2
"(2, 0, 5)",8
"(3, 1, -5)",1
"(3, 6, 1)",6
"(-3, -6, 2)",1
"(-5, -4, -5)",6
"(1, 3, 8)",1
"(-1, -3, -8)",1
"(3, 2, -4)",3
"(-4, -3, 1)",2
"(1, 7, 4)",1
"(-1, 8, 5)",1
"(1, 9, -5)",1
"(-1, -9, 0)",1
"(-5, -3, -4)",3
"(-2, 4, 5)",1
"(-5, 3, 2)",5
"(-4, 1, 2)",5
"(5, 5, 6)",2
"(-5, -5, -6)",1
"(2, -2, -5)",1
"(-6, 5, 4)",1
"(0, 6, -4)",2
"(5, -4, 3)",3
"(-4, -2, 2)",6
"(6, 3, 5)",1
"(-6, -3, -5)",1
"(6, 0, 4)",2
"(-6, 0, -4)",2
"(6, 3, -2)",2
"(-6, 4, 1)",2
"(4, -5, 3)",1
"(-1, 5, 3)",2
"(1, 6, 4)",4
"(-1, -6, -4)",2
"(3, -5, -2)",2
"(6, 3, -3)",1
"(7, 4, 1)",1
"(-7, -4, -1)",1
"(-1, 8, -1)",1
"(2, -7, -1)",2
"(5, 3, 0)",3
"(6, 4, 1)",3
"(-6, -4, -1)",1
"(3, 6, 2)",3
"(-3, -6, -2)",2
"(5, 6, -3)",1
"(-5, -6, 0)",3
"(-3, 3, 5)",1
"(0, -3, -5)",10
"(-4, 4, 4)",2
"(-4, 4, 3)",1
"(0, 5, 4)",4
"(-5, 0, 6)",2
"(6, -1, 6)",3
"(-6, 0, -6)",3
"(3, -1, 4)",8
"(6, -1, -4)",1
"(8, 1, 1)",3
"(-8, -1, -1)",2
"(6, -5, -1)",1
"(1, -5, -2)",1
"(-3, -5, -5)",3
"(-3, 7, -2)",1
"(0, 3, 5)",5
"(6, 0, -4)",2
"(8, -1, -1)",1
"(9, 1, 0)",1
"(-1, -3, 5)",3
"(-4, -2, 4)",2
"(-1, 3, 4)",6
"(2, 5, 6)",2
"(-2, -5, 7)",2
"(0, 6, 3)",1
"(0, -6, -3)",5
"(-3, -4, -5)",5
"(-5, 3, 0)",3
"(7, 3, 4)",1
"(8, 4, 5)",1
"(-8, -4, -5)",1
"(-4, 1, -2)",4
"(-3, -3, 7)",2
"(4, 0, 6)",1
"(5, 1, -6)",1
"(4, 4, -5)",2
"(6, 6, -1)",2
"(-6, -6, 0)",4
"(-6, -4, -4)",3
"(6, -3, -1)",2
"(8, 2, 2)",2
"(-8, -2, 3)",2
"(6, -2, 1)",4
"(7, 0, -1)",2
"(6, 1, 4)",3
"(-6, -1, -4)",1
"(-1, 6, -5)",1
"(3, 2, -5)",2
"(-4, 6, -1)",5
"(3, 1, 6)",3
"(-3, -1, -6)",2
"(6, 5, 7)",1
"(-6, -5, -7)",1
"(-5, 0, 4)",1
"(2, 7, 2)",5
"(-2, -7, -2)",4
"(-2, -5, 6)",1
"(2, -1, -7)",3
"(-3, 3, -4)",2
"(-5, 5, -1)",2
"(-1, -4, 3)",8
"(4, 0, -4)",4
"(-4, -2, 1)",8
"(-6, -2, -1)",4
"(0, 3, -5)",2
"(-2, 6, -2)",2
"(-6, 4, 4)",1
"(4, -4, -3)",5
"(2, 6, 1)",6
"(-2, -6, -1)",4
"(5, -2, 4)",3
"(-5, 1, -1)",6
"(-5, 6, 0)",1
"(6, -6, 6)",1
"(7, 1, 7)",2
"(-7, -1, -7)",1
"(-1, -4, 5)",4
"(6, -4, -3)",1
"(-6, 0, 1)",3
"(-3, -4, 5)",2
"(1, -5, 3)",1
"(-3, 2, -5)",1
"(8, 2, 8)",1
"(9, 3, 9)",1
"(-9, -3, 10)",1
"(1, 0, -10)",1
"(7, 2, -1)",1
"(-7, -2, 0)",2
"(4, -4, -2)",2
"(7, 4, 3)",2
"(-7, -4, -3)",2
"(-5, 1, -2)",2
"(-9, -2, 2)",1
"(-4, -3, -5)",3
"(1, 4, -4)",4
"(-3, 1, 7)",2
"(0, 2, -7)",1
"(0, -4, 4)",5
"(6, -1, 3)",2
"(7, 0, -3)",2
"(-3, 5, 1)",1
"(4, 5, -3)",3
"(5, -5, 1)",1
"(-5, 2, 1)",2
"(2, -5, -3)",1
"(6, 2, 6)",1
"(-6, -2, 7)",1
"(1, -6, 0)",2
"(3, -1, -5)",1
"(4, 2, -4)",1
"(3, 6, 0)",1
"(4, 7, 0)",1
"(-4, -7, 0)",1
"(-6, 3, 2)",1
"(4, -2, 6)",1
"(5, 0, -6)",1
"(7, 2, 6)",1
"(-7, -2, -6)",1
"(3, 4, -4)",2
"(-3, 6, 1)",3
"(7, -3, 0)",1
"(1, 6, -1)",2
"(-1, 7, 0)",1
"(0, 8, 0)",2
"(-1, 2, 8)",1
"(1, -2, -8)",1
"(-6, 2, 2)",2
"(-6, 1, 1)",4
"(5, -4, 4)",1
"(7, 5, 2)",2
"(8, 6, 3)",1
"(-8, -6, -3)",1
"(3, 7, -2)",1
"(-3, -7, 0)",1
"(6, -2, 3)",3
"(-6, 0, 4)",1
"(-3, 1, 5)",4
"(6, 6, 2)",2
"(-6, 7, -2)",1
"(1, 8, 1)",1
"(2, 9, 2)",1
"(3, 10, -2)",1
"(-3, -10, 0)",1
"(-6, 1, 3)",1
"(-5, -4, -1)",3
"(-6, -3, -6)",1
"(-6, -3, -2)",2
"(7, 1, 5)",1
"(-7, -1, 6)",1
"(-3, 5, 2)",5
"(5, -1, -3)",2
"(6, -1, 1)",1
"(-1, -5, -6)",1
"(-7, 1, 0)",2
"(0, 2, -5)",3
"(2, 5, 4)",6
"(-2, -5, -4)",4
"(-4, 5, -3)",1
"(0, 7, -1)",1
"(1, 8, 0)",1
"(-1, -8, 0)",2
"(0, 7, 1)",4
"(-6, -1, 5)",1
"(-2, -2, 8)",2
"(1, -5, 6)",1
"(2, 0, -6)",1
"(4, 8, 2)",1
"(-4, -8, -2)",1
"(-4, 6, 2)",1
"(3, 3, -4)",4
"(7, -1, -6)",1
"(-4, 5, 5)",5
"(-6, 0, -2)",4
"(8, -3, 3)",1
"(9, 1, 4)",1
"(10, 2, 5)",1
"(-10, 3, -5)",1
"(-1, -5, 4)",2
"(-6, 7, 2)",1
"(1, 8, -2)",1
"(5, -1, -5)",2
"(-3, -6, -1)",4
"(-6, 2, -1)",1
"(1, 6, -5)",2
"(2, 7, 1)",2
"(3, -7, 2)",1
"(6, 3, 4)",2
"(-6, -3, -4)",1
"(-2, 5, 2)",4
"(-3, -3, -6)",3
"(-4, 3, 7)",1
"(-3, 6, 4)",2
"(0, -6, -4)",3
"(-3, 5, -2)",4
"(6, -2, -2)",1
"(5, -5, -7)",1
"(7, -1, 2)",1
"(-7, 0, -2)",1
"(6, 6, 4)",1
"(-6, -6, -4)",1
"(1, -4, 3)",1
"(-1, 8, 0)",1
"(0, 9, 0)",2
"(0, -9, 0)",2
"(6, 1, 2)",6
"(7, 2, -2)",1
"(2, -6, -1)",1
"(4, -1, 5)",1
"(3, 5, 0)",4
"(6, 2, -2)",2
"(-1, 2, -6)",2
"(1, -1, -5)",2
"(6, 1, -1)",2
"(-1, 8, -2)",1
"(6, -1, -2)",1
"(0, 6, -1)",2
"(-3, 2, -6)",1
"(3, -4, 1)",3
"(2, -6, 4)",1
"(-2, 5, -3)",2
"(-4, 5, 7)",1
"(-3, -2, 5)",3
"(-2, 3, -5)",1
"(2, -1, 7)",1
"(3, 1, 8)",1
"(-3, -1, -8)",1
"(-1, 6, -3)",4
"(-3, 4, -5)",2
"(-5, 3, -1)",1
"(7, 6, 2)",1
"(-7, -6, -2)",1
"(3, -1, -6)",3
"(2, -6, 0)",2
"(6, 4, -3)",1
"(3, 6, 6)",6
"(-3, -6, 7)",2
"(2, -1, 9)",1
"(3, 1, 10)",1
"(-3, -1, -10)",1
"(-3, -5, 1)",3
"(-2, 5, 1)",3
"(4, -4, 5)",3
"(5, 4, 2)",8
"(-5, -4, -2)",2
"(-4, -4, 4)",1
"(-2, -4, 4)",3
"(-3, 2, -4)",3
"(6, -2, 4)",1
"(1, 7, -2)",1
"(-1, -7, 0)",5
"(-4, 1, 4)",4
"(6, 5, 3)",2
"(-6, -5, -3)",1
"(-3, -6, -3)",3
"(3, 5, 4)",6
"(4, 6, 5)",1
"(-4, -6, -5)",1
"(3, 0, -5)",1
"(1, -3, 6)",2
"(-1, -6, -2)",2
"(7, -2, 3)",1
"(8, 0, 4)",1
"(9, 1, 5)",1
"(-9, -1, -5)",1
"(-5, 1, 3)",2
"(3, 7, 5)",1
"(4, 8, 6)",1
"(5, -8, -6)",1
"(5, 4, -1)",2
"(-6, -2, 2)",1
"(-3, -6, -6)",2
"(-5, 1, -6)",1
"(-1, 5, 4)",1
"(2, -3, -5)",1
"(-5, 6, 4)",2
"(-6, 3, 4)",1
"(4, -4, -1)",5
"(8, 3, 3)",1
"(-8, -3, -3)",1
"(-4, 5, 4)",2
"(1, -5, -4)",1
"(-1, -5, 6)",1
"(-1, -6, 1)",3
"(5, 3, 6)",1
"(-5, -3, -6)",1
"(3, 7, 2)",1
"(-3, -7, -2)",1
"(-2, -6, 3)",1
"(7, 4, -1)",1
"(8, 5, 1)",1
"(9, -5, -1)",1
"(10, 1, 1)",1
"(-10, -1, -1)",1
"(4, -5, 5)",1
"(-4, 1, -5)",1
"(1, 6, 6)",1
"(2, 7, 7)",1
"(-2, -7, -7)",1
"(2, 0, -5)",5
"(-2, -5, 5)",1
"(-3, -1, 6)",1
"(4, 4, -4)",2
"(-2, -2, -7)",1
"(7, 2, 4)",1
"(-7, -2, -4)",1
"(-3, -6, 5)",1
"(-4, 2, -3)",4
"(3, -5, -4)",1
"(-5, -3, 6)",2
"(-3, 4, -6)",1
"(0, -1, 6)",2
"(2, 1, 8)",1
"(-2, -1, -8)",1
"(5, 3, -1)",2
"(6, 4, 0)",4
"(-4, 2, 6)",1
"(0, 0, 8)",1
"(-5, -3, 4)",1
"(4, 6, 3)",2
"(-4, 7, -3)",1
"(1, -8, 0)",1
"(-4, 2, -4)",2
"(-2, 0, 6)",3
"(-1, 5, -2)",3
"(-1, 7, 2)",1
"(0, 8, -2)",1
"(5, 5, -1)",2
"(0, 1, 7)",3
"(-2, 7, 3)",1
"(0, -7, -3)",2
"(-4, 3, 5)",5
"(2, 1, -7)",1
"(5, 4, 0)",1
"(4, -3, -4)",2
"(-2, -1, 5)",3
"(6, 6, -4)",1
"(-4, 5, 8)",1
"(0, -5, -8)",1
"(-4, -3, 6)",1
"(-3, 7, 7)",1
"(0, -7, -7)",1
"(0, -6, 1)",1
"(-5, 6, 6)",1
"(1, 7, 7)",1
"(2, 8, -7)",1
"(-2, -8, 0)",1
"(2, -4, 5)",1
"(-2, 7, 2)",1
"(0, -7, 3)",1
"(-1, 2, -7)",2
"(-4, 1, 3)",2
"(-5, 1, 2)",3
"(-5, -5, 5)",1
"(2, -5, -5)",1
"(-6, -4, 5)",1
"(-1, 3, -5)",2
"(5, 5, -6)",1
"(7, -6, -1)",1
"(2, -7, 2)",1
"(1, -3, -5)",2
"(-2, 5, -5)",2
"(-2, 2, -4)",4
"(-5, -4, 3)",1
"(-2, 3, 6)",3
"(7, 0, 2)",1
"(-7, 1, -2)",1
"(3, 3, -6)",1
"(-5, -5, 3)",1
"(-7, -2, -2)",2
"(-5, -4, 5)",1
"(-5, 5, 3)",2
"(0, -5, 4)",1
"(-5, -4, 2)",1
"(7, -1, -1)",2
"(-6, -1, -2)",2
"(1, 3, -5)",2
"(3, -4, -4)",4
"(3, 2, 6)",2
"(-3, -2, -6)",1
"(-5, 3, -5)",2
"(1, 3, 6)",5
"(-1, -3, -6)",3
"(0, -1, 7)",3
"(1, 1, -7)",2
"(1, 6, 5)",2
"(-1, -6, -5)",2
"(-2, 6, 6)",1
"(1, 7, -6)",1
"(1, -6, 2)",2
"(7, 7, 0)",1
"(-7, -7, 0)",1
"(-1, 3, 7)",1
"(-4, 4, -2)",1
"(5, -2, 5)",1
"(5, 7, 4)",1
"(6, -7, 5)",1
"(7, 0, -5)",1
"(-3, -5, -4)",4
"(2, 7, 0)",1
"(-2, 8, 0)",1
"(0, 9, 1)",2
"(0, -9, -1)",1
"(7, 3, 5)",1
"(-7, -3, 6)",1
"(6, 6, -3)",1
"(-6, -6, 1)",1
"(5, 3, -3)",2
"(7, 5, 1)",1
"(-7, -5, -1)",1
"(-2, 2, 6)",1
"(-3, 3, 6)",1
"(7, 2, 3)",1
"(8, -2, 4)",1
"(-8, 1, 5)",1
"(-3, 7, -6)",1
"(2, 6, -1)",2
"(6, 5, -2)",1
"(-2, -4, 2)",3
"(4, 3, -4)",1
"(3, 8, 2)",1
"(4, -8, -2)",1
"(-3, -7, 2)",1
"(-5, 3, 3)",3
"(5, -4, -1)",1
"(6, 2, 0)",1
"(-6, 3, 1)",1
"(4, 2, -5)",2
"(-7, 2, -1)",1
"(-1, -6, 5)",1
"(4, 2, 8)",1
"(-4, -2, -8)",1
"(2, 7, -3)",1
"(-2, -7, 0)",1
"(1, 4, -5)",2
"(1, -7, -1)",1
"(2, 4, 8)",1
"(-2, -4, -8)",1
"(6, 0, -3)",1
"(4, 6, 0)",1
"(5, -6, 1)",1
"(7, -1, -2)",1
"(5, 2, -3)",1
"(6, 2, 5)",1
"(-6, -2, -5)",1
"(-1, -6, -3)",1
"(-4, 7, -1)",1
"(4, -5, -1)",2
"(6, 0, 7)",1
"(-6, 0, -7)",1
"(1, 9, 1)",1
"(-1, -9, 2)",1
"(6, 6, 7)",1
"(-6, -6, -7)",1
"(7, -3, -3)",2
"(8, 0, 1)",1
"(8, -5, -2)",1
"(9, 1, 1)",1
"(10, 2, 2)",1
"(-10, -2, -2)",1
"(5, 6, -5)",1
"(4, 3, -5)",1
"(-7, -1, -4)",1
"(6, -4, -1)",1
"(1, -6, -4)",1
"(7, -5, 4)",1
"(-7, 1, -4)",1
"(7, 4, -4)",1
"(-7, -4, 0)",1
"(4, -1, -4)",3
"(-1, 6, 0)",3
"(2, 4, 7)",2
"(-2, -4, -7)",1
"(-1, -7, 2)",1
"(9, 3, 6)",1
"(-9, -3, -6)",1
"(2, 7, 5)",1
"(-2, -7, -5)",1
"(-5, -2, 6)",1
"(2, -1, 8)",1
"(3, 1, -8)",1
"(3, 5, -7)",1
"(1, 7, -1)",2
"(3, -2, 6)",1
"(3, -3, 7)",1
"(3, -5, -1)",1
"(-6, 2, -3)",1
"(4, -5, -3)",1
"(4, -4, 4)",2
"(-5, 4, -5)",1
"(-1, 3, 6)",1
"(-1, -4, -7)",1
"(-5, -4, -6)",1
"(-5, 2, -3)",1
"(-6, 0, 3)",2
"(4, 7, 2)",1
"(-4, -7, -2)",1
"(-2, 5, 6)",1
"(1, 6, 7)",1
"(2, 7, 8)",1
"(3, 8, 9)",1
"(4, -8, 10)",1
"(-4, 0, -10)",1
"(2, -5, -4)",1
"(1, 5, -5)",1
"(3, 2, -6)",1
"(-3, 3, -6)",1
"(4, -2, 5)",1
"(5, 0, -5)",1
"(2, -7, 0)",1
"(-5, 6, -2)",1
"(3, 6, -1)",1
"(-3, -6, 1)",1
"(5, -5, 4)",1
"(2, -6, -2)",1
"(1, 6, -2)",1
"(-6, 7, 3)",1
"(7, -2, -4)",1
"(4, -4, 1)",1
"(-1, -3, 6)",1
"(-2, -3, 6)",1
"(-2, -6, -4)",1
"(5, 5, 7)",1
"(6, -5, -7)",1
"(-8, -2, -1)",1
"(5, 7, 3)",1
"(-5, 8, -3)",1
"(1, -9, -1)",1
"(-2, 4, -7)",1
"(-5, 3, 6)",2
"(5, 2, 7)",1
"(-5, 3, -7)",1
"(3, -7, -2)",1
"(7, 1, 2)",2
"(8, 2, 3)",1
"(-8, 3, -3)",1
"(4, -5, 0)",1
"(6, 6, -2)",1
"(-2, -1, 6)",1
"(-5, 3, 4)",1
"(6, -5, -3)",1
"(0, 2, -6)",1
"(-5, 6, -4)",2
"(-2, -5, 4)",1
"(-1, 5, -4)",1
"(6, -5, 6)",1
"(3, 6, -5)",1
"(4, -6, 1)",1
"(3, 0, -6)",1
"(3, -3, -7)",1
"(2, 3, 8)",1
"(-2, -3, -8)",1
"(4, 4, -7)",1
"(6, 4, 5)",2
"(-6, -4, -5)",2
"(7, -3, -1)",1
"(-8, 0, 0)",1
"(-3, 1, 6)",1
"(7, -4, 1)",1
"(-8, -1, 3)",1
"(6, 4, -5)",2
"(-6, 5, 0)",1
"(2, 6, 3)",1
"(-2, -6, -3)",1
"(-2, 6, -5)",1
"(3, -3, 6)",1
"(-1, -2, 6)",1
