AoI
5
1
6
11
16
21
4
9
14
19
24
29
34
2
5
5
4
9
14
2
5
10
14
19
24
7
5
10
11
4
0
5
10
7
5
9
14
19
24
29
5
0
5
10
15
1
5
10
15
20
25
29
34
4
